#   Isochrone  Z = 0.01340   Y = 0.27222   [M/H] = -0.043   eta_R = 0.200   Age =    2.5119e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.013400   7.4000   1.69349098   1.6935   0.9528   3.9214   4.3515   2.388   2.570   2.537   2.387   2.315   2.254   2.189   2.144   2.137   3.24802923   1
   0.013400   7.4000   1.74349093   1.7435   1.0061   3.9328   4.3563   2.255   2.428   2.391   2.272   2.219   2.175   2.128   2.097   2.091   3.25210643   1
   0.013400   7.4000   1.79349077   1.7935   1.0580   3.9436   4.3602   2.125   2.291   2.259   2.166   2.130   2.100   2.069   2.049   2.044   3.25591469   1
   0.013400   7.4000   1.84349096   1.8435   1.1064   3.9537   4.3639   2.004   2.165   2.145   2.074   2.050   2.032   2.015   2.003   2.000   3.25947809   1
   0.013400   7.4000   1.89349091   1.8935   1.1541   3.9634   4.3666   1.885   2.042   2.039   1.987   1.974   1.965   1.961   1.956   1.955   3.26281881   1
   0.013400   7.4000   1.94349086   1.9435   1.2008   3.9727   4.3687   1.768   1.925   1.940   1.905   1.901   1.900   1.909   1.910   1.910   3.26595569   1
   0.013400   7.4000   1.99349093   1.9935   1.2453   3.9815   4.3704   1.657   1.816   1.850   1.829   1.832   1.839   1.858   1.864   1.867   3.26890635   1
   0.013400   7.4000   2.04349089   2.0435   1.2881   3.9899   4.3719   1.550   1.712   1.766   1.759   1.767   1.781   1.810   1.819   1.824   3.27168226   1
   0.013400   7.4000   2.09349084   2.0935   1.3302   3.9979   4.3722   1.444   1.611   1.686   1.690   1.704   1.722   1.760   1.773   1.780   3.27429414   1
   0.013400   7.4000   2.14349103   2.1435   1.3713   4.0056   4.3724   1.342   1.512   1.609   1.624   1.642   1.665   1.712   1.728   1.737   3.27675509   1
   0.013400   7.4000   2.19349098   2.1935   1.4111   4.0133   4.3731   1.242   1.417   1.537   1.562   1.583   1.610   1.665   1.684   1.695   3.27907681   1
   0.013400   7.4000   2.24349093   2.2435   1.4502   4.0204   4.3724   1.145   1.325   1.466   1.499   1.524   1.554   1.617   1.639   1.652   3.28127050   1
   0.013400   7.4000   2.29349089   2.2935   1.4877   4.0275   4.3727   1.051   1.237   1.399   1.440   1.468   1.502   1.573   1.596   1.612   3.28334570   1
   0.013400   7.4000   2.38698196   2.3870   1.5556   4.0396   4.3707   0.881   1.079   1.279   1.332   1.364   1.404   1.487   1.515   1.533   3.28693795   1
   0.013400   7.4000   2.56227136   2.5623   1.6754   4.0606   4.3656   0.581   0.804   1.070   1.142   1.180   1.228   1.332   1.366   1.391   3.29280376   1
   0.013400   7.4000   2.57396340   2.5740   1.6832   4.0620   4.3653   0.562   0.786   1.057   1.130   1.168   1.216   1.322   1.356   1.381   3.29315901   1
   0.013400   7.4000   2.68889236   2.6889   1.7566   4.0744   4.3607   0.379   0.621   0.930   1.012   1.053   1.107   1.224   1.262   1.290   3.29643965   1
   0.013400   7.4000   2.77396345   2.7740   1.8092   4.0833   4.3572   0.247   0.504   0.841   0.928   0.972   1.028   1.154   1.194   1.224   3.29864264   1
   0.013400   7.4000   2.97396374   2.9740   1.9267   4.1030   4.3485   -0.047   0.248   0.643   0.742   0.790   0.852   0.996   1.041   1.075   3.30318642   1
   0.013400   7.4000   3.17396355   3.1740   2.0357   4.1206   4.3384   -0.319   0.016   0.459   0.568   0.620   0.687   0.846   0.895   0.932   3.30699992   1
   0.013400   7.4000   3.32250857   3.3225   2.1123   4.1329   4.3306   -0.511   -0.146   0.330   0.446   0.499   0.571   0.739   0.790   0.830   3.30944443   1
   0.013400   7.4000   3.37396359   3.3740   2.1382   4.1370   4.3280   -0.575   -0.200   0.286   0.404   0.458   0.531   0.703   0.755   0.795   3.31022382   1
   0.013400   7.4000   3.49196768   3.4920   2.1958   4.1461   4.3218   -0.719   -0.320   0.190   0.312   0.367   0.444   0.622   0.676   0.718   3.31189466   1
   0.013400   7.4000   3.57396340   3.5740   2.2348   4.1523   4.3174   -0.817   -0.400   0.124   0.250   0.307   0.385   0.567   0.623   0.666   3.31296825   1
   0.013400   7.4000   3.64091492   3.6409   2.2658   4.1571   4.3139   -0.895   -0.463   0.072   0.200   0.259   0.338   0.524   0.581   0.625   3.31379652   1
   0.013400   7.4000   3.77396369   3.7740   2.3262   4.1666   4.3072   -1.045   -0.584   -0.028   0.105   0.166   0.248   0.441   0.499   0.545   3.31532574   1
   0.013400   7.4000   3.97396350   3.9740   2.4127   4.1800   4.2966   -1.262   -0.758   -0.172   -0.033   0.031   0.116   0.319   0.380   0.428   3.31736732   1
   0.013400   7.4000   4.16241980   4.1624   2.4905   4.1918   4.2862   -1.456   -0.913   -0.302   -0.157   -0.091   -0.002   0.209   0.272   0.323   3.31904769   1
   0.013400   7.4000   4.17396355   4.1740   2.4951   4.1925   4.2855   -1.468   -0.923   -0.310   -0.164   -0.098   -0.009   0.202   0.266   0.316   3.31914377   1
   0.013400   7.4000   4.37396383   4.3740   2.5740   4.2044   4.2744   -1.665   -1.079   -0.443   -0.291   -0.222   -0.129   0.090   0.156   0.208   3.32069540   1
   0.013400   7.4000   4.57396364   4.5740   2.6496   4.2156   4.2632   -1.854   -1.228   -0.571   -0.413   -0.341   -0.245   -0.019   0.049   0.104   3.32205868   1
   0.013400   7.4000   4.59242439   4.5924   2.6563   4.2166   4.2622   -1.871   -1.242   -0.583   -0.424   -0.352   -0.256   -0.029   0.040   0.094   3.32217622   1
   0.013400   7.4000   4.77396393   4.7740   2.7219   4.2262   4.2516   -2.035   -1.372   -0.695   -0.532   -0.457   -0.358   -0.125   -0.054   0.001   3.32326388   1
   0.013400   7.4000   4.84554291   4.8455   2.7471   4.2298   4.2474   -2.098   -1.422   -0.738   -0.573   -0.498   -0.398   -0.162   -0.091   -0.034   3.32366133   1
   0.013400   7.4000   4.97396326   4.9740   2.7917   4.2362   4.2396   -2.209   -1.510   -0.815   -0.647   -0.570   -0.468   -0.228   -0.156   -0.098   3.32433438   1
   0.013400   7.4000   5.17396355   5.1740   2.8592   4.2456   4.2272   -2.378   -1.645   -0.932   -0.760   -0.680   -0.575   -0.329   -0.255   -0.196   3.32528877   1
   0.013400   7.4000   5.26941109   5.2694   2.8905   4.2500   4.2212   -2.456   -1.708   -0.987   -0.812   -0.732   -0.625   -0.377   -0.302   -0.242   3.32570720   1
   0.013400   7.4000   5.37396383   5.3740   2.9244   4.2547   4.2145   -2.541   -1.776   -1.047   -0.869   -0.788   -0.680   -0.428   -0.353   -0.292   3.32614064   1
   0.013400   7.4000   5.56499958   5.5650   2.9853   4.2628   4.2014   -2.693   -1.898   -1.156   -0.974   -0.890   -0.780   -0.523   -0.446   -0.383   3.32687211   1
   0.013400   7.4000   5.57396317   5.5740   2.9881   4.2632   4.2008   -2.700   -1.904   -1.161   -0.979   -0.895   -0.785   -0.528   -0.450   -0.388   3.32690454   1
   0.013400   7.4000   5.68462610   5.6846   3.0223   4.2677   4.1931   -2.786   -1.974   -1.223   -1.038   -0.953   -0.841   -0.582   -0.503   -0.440   3.32729363   1
   0.013400   7.4000   5.77396393   5.7740   3.0498   4.2712   4.1864   -2.855   -2.030   -1.273   -1.086   -1.000   -0.888   -0.626   -0.546   -0.483   3.32759213   1
   0.013400   7.4000   5.95892239   5.9589   3.1057   4.2782   4.1724   -2.994   -2.144   -1.375   -1.185   -1.097   -0.982   -0.716   -0.635   -0.570   3.32816863   1
   0.013400   7.4000   5.97396374   5.9740   3.1102   4.2788   4.1712   -3.006   -2.153   -1.383   -1.193   -1.105   -0.990   -0.723   -0.643   -0.577   3.32821321   1
   0.013400   7.4000   6.12485170   6.1249   3.1547   4.2842   4.1593   -3.117   -2.246   -1.466   -1.272   -1.183   -1.067   -0.797   -0.715   -0.649   3.32864285   1
   0.013400   7.4000   6.17396355   6.1740   3.1691   4.2859   4.1552   -3.153   -2.276   -1.493   -1.299   -1.209   -1.092   -0.821   -0.739   -0.672   3.32877612   1
   0.013400   7.4000   6.27589273   6.2759   3.1985   4.2894   4.1469   -3.226   -2.337   -1.548   -1.352   -1.262   -1.143   -0.870   -0.787   -0.720   3.32904291   1
   0.013400   7.4000   6.37396383   6.3740   3.2266   4.2927   4.1387   -3.297   -2.396   -1.601   -1.403   -1.312   -1.193   -0.917   -0.834   -0.766   3.32928777   1
   0.013400   7.4000   6.63810778   6.6381   3.3003   4.3010   4.1157   -3.481   -2.551   -1.743   -1.541   -1.447   -1.324   -1.044   -0.959   -0.889   3.32989383   1
   0.013400   7.4000   6.90145683   6.9015   3.3728   4.3086   4.0904   -3.662   -2.706   -1.885   -1.679   -1.583   -1.458   -1.173   -1.086   -1.016   3.33042908   1
   0.013400   7.4000   7.00000000   7.0000   3.3997   4.3112   4.0800   -3.729   -2.765   -1.939   -1.731   -1.635   -1.510   -1.222   -1.135   -1.064   3.33061361   1
   0.013400   7.4000   7.14923334   7.1492   3.4397   4.3148   4.0637   -3.829   -2.853   -2.021   -1.811   -1.714   -1.587   -1.298   -1.210   -1.138   3.33087873   1
   0.013400   7.4000   7.35390186   7.3539   3.4940   4.3193   4.0398   -3.965   -2.975   -2.133   -1.922   -1.824   -1.695   -1.403   -1.314   -1.240   3.33121610   1
   0.013400   7.4000   7.54348135   7.5435   3.5440   4.3231   4.0159   -4.090   -3.088   -2.240   -2.026   -1.927   -1.797   -1.503   -1.413   -1.338   3.33150387   1
   0.013400   7.4000   7.71989632   7.7199   3.5903   4.3262   3.9920   -4.206   -3.195   -2.340   -2.125   -2.025   -1.895   -1.598   -1.507   -1.432   3.33175278   1
   0.013400   7.4000   7.88392496   7.8839   3.6338   4.3285   3.9670   -4.314   -3.298   -2.438   -2.222   -2.122   -1.990   -1.692   -1.600   -1.525   3.33196902   1
   0.013400   7.4000   8.00000000   8.0000   3.6647   4.3298   3.9478   -4.392   -3.372   -2.509   -2.292   -2.192   -2.060   -1.761   -1.669   -1.593   3.33211422   1
   0.013400   7.4000   8.01468468   8.0147   3.6685   4.3300   3.9455   -4.401   -3.381   -2.517   -2.301   -2.200   -2.068   -1.769   -1.677   -1.602   3.33213186   1
   0.013400   7.4000   8.22025776   8.2203   3.7216   4.3315   3.9092   -4.534   -3.512   -2.644   -2.427   -2.326   -2.194   -1.893   -1.801   -1.725   3.33237171   1
   0.013400   7.4000   8.42471695   8.4247   3.7745   4.3320   3.8692   -4.666   -3.647   -2.775   -2.558   -2.457   -2.324   -2.023   -1.931   -1.855   3.33259225   1
   0.013400   7.4000   8.59587002   8.5959   3.8194   4.3315   3.8309   -4.778   -3.765   -2.892   -2.675   -2.574   -2.442   -2.141   -2.048   -1.972   3.33276415   1
   0.013400   7.4000   8.75303936   8.7530   3.8615   4.3298   3.7899   -4.884   -3.881   -3.009   -2.791   -2.691   -2.559   -2.259   -2.167   -2.091   3.33291268   1
   0.013400   7.4000   8.94572830   8.9457   3.9136   4.3264   3.7335   -5.014   -4.029   -3.159   -2.943   -2.844   -2.713   -2.414   -2.323   -2.247   3.33308387   1
   0.013400   7.4000   9.00000000   9.0000   3.9285   4.3250   3.7159   -5.051   -4.073   -3.204   -2.988   -2.890   -2.759   -2.461   -2.370   -2.295   3.33312988   1
   0.013400   7.4000   9.08621693   9.0862   3.9503   4.3231   3.6904   -5.106   -4.137   -3.270   -3.054   -2.957   -2.827   -2.530   -2.439   -2.364   3.33320141   1
   0.013400   7.4000   9.25186348   9.2519   3.9938   4.3169   3.6300   -5.214   -4.273   -3.414   -3.200   -3.104   -2.976   -2.682   -2.593   -2.519   3.33333302   1
   0.013400   7.4000   9.39610577   9.3961   4.0320   4.3102   3.5719   -5.310   -4.397   -3.547   -3.335   -3.240   -3.115   -2.825   -2.737   -2.664   3.33344173   1
   0.013400   7.4000   9.53816891   9.5382   4.0704   4.3023   3.5081   -5.406   -4.528   -3.687   -3.477   -3.384   -3.262   -2.977   -2.891   -2.820   3.33354354   1
   0.013400   7.4000   9.64714050   9.6471   4.1019   4.2945   3.4504   -5.485   -4.641   -3.808   -3.602   -3.512   -3.393   -3.112   -3.027   -2.957   3.33361864   1
   0.013400   7.4000   9.77099705   9.7710   4.1403   4.2887   3.3946   -5.581   -4.764   -3.936   -3.733   -3.645   -3.527   -3.249   -3.166   -3.097   3.33370066   1
   0.013400   7.4000   9.79681683   9.7968   4.1503   4.2913   3.3959   -5.606   -4.780   -3.948   -3.744   -3.655   -3.536   -3.257   -3.173   -3.103   3.33371758   1
   0.013400   7.4000   9.83578873   9.8358   4.1700   4.3029   3.4245   -5.655   -4.785   -3.936   -3.726   -3.634   -3.512   -3.226   -3.139   -3.067   3.33374238   1
   0.013400   7.4000   9.84638977   9.8464   4.1836   4.3157   3.4625   -5.689   -4.770   -3.902   -3.688   -3.593   -3.466   -3.171   -3.082   -3.008   3.33374906   1
   0.013400   7.4000   9.85061836   9.8506   4.1986   4.3275   3.4950   -5.726   -4.763   -3.877   -3.658   -3.560   -3.429   -3.128   -3.036   -2.959   3.33375192   1
   0.013400   7.4000   9.85256195   9.8526   4.2147   4.3375   3.5190   -5.767   -4.766   -3.865   -3.643   -3.542   -3.409   -3.101   -3.007   -2.928   3.33375311   1
   0.013400   7.4000   9.85362244   9.8536   4.2271   4.3446   3.5350   -5.798   -4.771   -3.859   -3.635   -3.533   -3.397   -3.085   -2.989   -2.909   3.33375382   2
   0.013400   7.4000   9.85405827   9.8541   4.2143   4.3404   3.5309   -5.766   -4.754   -3.849   -3.626   -3.525   -3.390   -3.081   -2.986   -2.906   3.33375406   2
   0.013400   7.4000   9.85461998   9.8546   4.1956   4.3318   3.5151   -5.719   -4.739   -3.847   -3.627   -3.528   -3.396   -3.092   -2.999   -2.921   3.33375430   2
   0.013400   7.4000   9.85498333   9.8550   4.1836   4.3238   3.4953   -5.689   -4.738   -3.859   -3.641   -3.544   -3.414   -3.115   -3.024   -2.948   3.33375454   2
   0.013400   7.4000   9.85549164   9.8555   4.1761   4.3097   3.4462   -5.670   -4.774   -3.915   -3.704   -3.609   -3.485   -3.194   -3.106   -3.033   3.33375502   2
   0.013400   7.4000   9.85586548   9.8559   4.1771   4.2981   3.3990   -5.673   -4.823   -3.980   -3.772   -3.682   -3.561   -3.277   -3.192   -3.121   3.33375525   2
   0.013400   7.4000   9.85622692   9.8562   4.1808   4.2864   3.3485   -5.682   -4.879   -4.052   -3.849   -3.762   -3.645   -3.368   -3.286   -3.217   3.33375549   2
   0.013400   7.4000   9.85657883   9.8566   4.1866   4.2745   3.2951   -5.697   -4.940   -4.130   -3.932   -3.849   -3.736   -3.466   -3.386   -3.319   3.33375549   2
   0.013400   7.4000   9.85692215   9.8569   4.1926   4.2624   3.2409   -5.712   -5.003   -4.210   -4.017   -3.937   -3.828   -3.566   -3.489   -3.424   3.33375573   2
   0.013400   7.4000   9.85725784   9.8573   4.1980   4.2502   3.1867   -5.725   -5.063   -4.290   -4.102   -4.025   -3.920   -3.666   -3.592   -3.528   3.33375597   2
   0.013400   7.4000   9.85758400   9.8576   4.2025   4.2380   3.1332   -5.736   -5.121   -4.366   -4.184   -4.111   -4.011   -3.763   -3.692   -3.631   3.33375621   2
   0.013400   7.4000   9.85789871   9.8579   4.2061   4.2257   3.0804   -5.745   -5.177   -4.441   -4.264   -4.194   -4.098   -3.859   -3.791   -3.732   3.33375645   2
   0.013400   7.4000   9.85827827   9.8583   4.2094   4.2103   3.0155   -5.754   -5.244   -4.532   -4.362   -4.297   -4.206   -3.977   -3.912   -3.856   3.33375669   2
   0.013400   7.4000   9.85856819   9.8586   4.2112   4.1979   2.9643   -5.758   -5.294   -4.602   -4.437   -4.376   -4.290   -4.069   -4.007   -3.953   3.33375692   2
   0.013400   7.4000   9.85884666   9.8588   4.2123   4.1856   2.9138   -5.761   -5.342   -4.669   -4.511   -4.454   -4.372   -4.159   -4.100   -4.048   3.33375692   2
   0.013400   7.4000   9.85911369   9.8591   4.2129   4.1732   2.8638   -5.762   -5.388   -4.735   -4.583   -4.530   -4.453   -4.248   -4.193   -4.142   3.33375716   2
