#   Isochrone  Z = 0.02124   Y = 0.28667   [M/H] = 0.171   eta_R = 0.200   Age =    1.2589e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.021238   7.1000   1.67012143   1.6701   0.7652   3.8396   4.2062   2.857   3.193   3.204   2.830   2.597   2.401   2.176   2.004   1.988   3.24602342   0
   0.021238   7.1000   1.67499995   1.6750   0.7729   3.8405   4.2033   2.838   3.170   3.182   2.810   2.579   2.384   2.161   1.991   1.975   3.24644756   0
   0.021238   7.1000   1.68748760   1.6875   0.7930   3.8434   4.1977   2.788   3.111   3.121   2.758   2.533   2.343   2.126   1.961   1.946   3.24752021   0
   0.021238   7.1000   1.70000005   1.7000   0.8142   3.8466   4.1926   2.734   3.047   3.055   2.703   2.484   2.300   2.091   1.932   1.917   3.24857616   0
   0.021238   7.1000   1.72298169   1.7230   0.8516   3.8527   4.1853   2.641   2.935   2.940   2.606   2.399   2.226   2.030   1.883   1.869   3.25046802   0
   0.021238   7.1000   1.72500002   1.7250   0.8549   3.8534   4.1853   2.633   2.925   2.929   2.598   2.392   2.220   2.026   1.880   1.866   3.25063133   0
   0.021238   7.1000   1.75000000   1.7500   0.8961   3.8622   4.1858   2.530   2.799   2.797   2.491   2.303   2.146   1.972   1.842   1.829   3.25261688   0
   0.021238   7.1000   1.75936711   1.7594   0.9118   3.8657   4.1863   2.490   2.752   2.747   2.451   2.270   2.119   1.952   1.828   1.815   3.25334358   0
   0.021238   7.1000   1.77499998   1.7750   0.9380   3.8720   4.1893   2.425   2.674   2.662   2.383   2.216   2.077   1.922   1.810   1.798   3.25453615   0
   0.021238   7.1000   1.77527249   1.7753   0.9384   3.8721   4.1894   2.424   2.672   2.661   2.382   2.215   2.076   1.921   1.809   1.797   3.25455666   0
   0.021238   7.1000   1.79999995   1.8000   0.9849   3.8849   4.1998   2.308   2.534   2.509   2.265   2.123   2.007   1.878   1.788   1.777   3.25639176   0
   0.021238   7.1000   1.82500005   1.8250   1.0365   3.8997   4.2138   2.179   2.384   2.344   2.140   2.028   1.938   1.838   1.770   1.761   3.25818729   0
   0.021238   7.1000   1.82918823   1.8292   1.0460   3.9026   4.2168   2.155   2.357   2.314   2.118   2.012   1.927   1.832   1.768   1.759   3.25848246   0
   0.021238   7.1000   1.84281075   1.8428   1.0760   3.9125   4.2293   2.080   2.270   2.220   2.051   1.964   1.895   1.817   1.766   1.758   3.25943112   0
   0.021238   7.1000   1.85000002   1.8500   1.0872   3.9168   4.2370   2.052   2.237   2.185   2.028   1.949   1.887   1.816   1.771   1.763   3.25992513   0
   0.021238   7.1000   1.87294054   1.8729   1.1150   3.9275   4.2575   1.982   2.155   2.102   1.973   1.914   1.867   1.815   1.781   1.774   3.26147151   0
   0.021238   7.1000   1.87500000   1.8750   1.1162   3.9281   4.2592   1.979   2.152   2.098   1.971   1.913   1.867   1.816   1.783   1.776   3.26160812   0
   0.021238   7.1000   1.89999998   1.9000   1.1292   3.9357   4.2823   1.947   2.111   2.063   1.954   1.907   1.871   1.832   1.806   1.801   3.26323819   0
   0.021238   7.1000   1.92499995   1.9250   1.1528   3.9424   4.2911   1.888   2.045   2.003   1.910   1.873   1.845   1.816   1.797   1.792   3.26481819   0
   0.021238   7.1000   1.92873955   1.9287   1.1539   3.9438   4.2965   1.885   2.041   2.001   1.912   1.876   1.850   1.823   1.804   1.800   3.26505041   0
   0.021238   7.1000   1.95000005   1.9500   1.1573   3.9460   4.3066   1.877   2.030   1.994   1.909   1.876   1.852   1.828   1.812   1.808   3.26635003   0
   0.021238   7.1000   1.98422933   1.9842   1.1762   3.9511   4.3156   1.829   1.978   1.949   1.875   1.849   1.831   1.815   1.802   1.799   3.26837301   1
   0.021238   7.1000   2.00000000   2.0000   1.1903   3.9539   4.3161   1.794   1.941   1.917   1.849   1.826   1.810   1.798   1.787   1.785   3.26927757   1
   0.021238   7.1000   2.04999995   2.0500   1.2339   3.9624   4.3175   1.685   1.825   1.818   1.767   1.754   1.747   1.746   1.742   1.741   3.27203131   1
   0.021238   7.1000   2.09999990   2.1000   1.2760   3.9705   4.3182   1.580   1.716   1.726   1.691   1.686   1.687   1.696   1.697   1.697   3.27462268   1
   0.021238   7.1000   2.15000010   2.1500   1.3177   3.9785   4.3187   1.476   1.611   1.640   1.620   1.621   1.628   1.647   1.652   1.654   3.27706480   1
