#   Isochrone  Z = 0.00424   Y = 0.25643   [M/H] = -0.558   eta_R = 0.200   Age =    5.0120e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.004237   8.7000   1.85711133   1.8571   1.3695   4.0086   4.3237   1.346   1.546   1.648   1.666   1.683   1.704   1.749   1.765   1.774   3.26040936   1
   0.004237   8.7000   1.86958313   1.8696   1.3835   4.0102   4.3192   1.311   1.512   1.618   1.639   1.657   1.679   1.725   1.742   1.751   3.26124787   1
   0.004237   8.7000   1.90711129   1.9071   1.4257   4.0149   4.3043   1.206   1.408   1.530   1.556   1.577   1.601   1.652   1.670   1.681   3.26369262   1
   0.004237   8.7000   1.94902647   1.9490   1.4727   4.0198   4.2862   1.088   1.292   1.430   1.463   1.485   1.512   1.569   1.589   1.601   3.26629138   1
   0.004237   8.7000   1.95711136   1.9571   1.4818   4.0206   4.2823   1.066   1.270   1.410   1.444   1.467   1.494   1.552   1.572   1.584   3.26677728   1
   0.004237   8.7000   1.99988329   1.9999   1.5299   4.0247   4.2601   0.945   1.151   1.305   1.345   1.369   1.398   1.461   1.482   1.495   3.26927090   1
   0.004237   8.7000   2.00711131   2.0071   1.5380   4.0254   4.2560   0.925   1.131   1.287   1.328   1.352   1.381   1.445   1.466   1.479   3.26967955   1
   0.004237   8.7000   2.03695655   2.0370   1.5712   4.0277   4.2386   0.842   1.049   1.213   1.257   1.282   1.312   1.378   1.400   1.414   3.27132916   1
   0.004237   8.7000   2.05711126   2.0571   1.5936   4.0292   4.2263   0.786   0.993   1.162   1.208   1.234   1.265   1.332   1.354   1.369   3.27240944   1
   0.004237   8.7000   2.10711122   2.1071   1.6489   4.0319   4.1924   0.648   0.855   1.034   1.084   1.111   1.143   1.213   1.236   1.252   3.27497888   1
   0.004237   8.7000   2.14168811   2.1417   1.6872   4.0332   4.1662   0.552   0.759   0.943   0.995   1.022   1.055   1.126   1.149   1.166   3.27666879   1
   0.004237   8.7000   2.15711141   2.1571   1.7046   4.0334   4.1527   0.508   0.714   0.900   0.953   0.980   1.012   1.084   1.107   1.124   3.27740073   1
   0.004237   8.7000   2.17283535   2.1728   1.7224   4.0336   4.1389   0.464   0.669   0.856   0.910   0.937   0.969   1.041   1.064   1.081   3.27813387   1
   0.004237   8.7000   2.20711136   2.2071   1.7611   4.0333   4.1058   0.367   0.569   0.756   0.811   0.838   0.871   0.942   0.965   0.982   3.27968669   1
   0.004237   8.7000   2.21117997   2.2112   1.7657   4.0332   4.1017   0.356   0.557   0.744   0.800   0.827   0.859   0.930   0.953   0.970   3.27986717   1
   0.004237   8.7000   2.25390959   2.2539   1.8142   4.0313   4.0541   0.235   0.430   0.613   0.669   0.695   0.727   0.796   0.819   0.835   3.28171253   1
   0.004237   8.7000   2.25711131   2.2571   1.8179   4.0311   4.0501   0.225   0.420   0.603   0.659   0.685   0.717   0.785   0.808   0.824   3.28184724   1
   0.004237   8.7000   2.27467084   2.2747   1.8379   4.0299   4.0284   0.175   0.367   0.546   0.602   0.628   0.659   0.727   0.749   0.765   3.28257799   1
   0.004237   8.7000   2.30711126   2.3071   1.8755   4.0261   3.9819   0.081   0.266   0.435   0.490   0.514   0.544   0.607   0.628   0.643   3.28389168   1
   0.004237   8.7000   2.33713388   2.3371   1.9100   4.0215   3.9346   -0.005   0.171   0.329   0.381   0.403   0.431   0.489   0.508   0.522   3.28506732   1
   0.004237   8.7000   2.35711122   2.3571   1.9331   4.0172   3.8981   -0.063   0.107   0.253   0.302   0.323   0.348   0.402   0.419   0.432   3.28582883   1
   0.004237   8.7000   2.36483717   2.3648   1.9419   4.0156   3.8844   -0.085   0.083   0.224   0.273   0.293   0.317   0.369   0.386   0.399   3.28611898   1
   0.004237   8.7000   2.38941503   2.3894   1.9704   4.0087   3.8327   -0.156   0.003   0.124   0.168   0.185   0.206   0.250   0.265   0.276   3.28702664   1
   0.004237   8.7000   2.41170263   2.4117   1.9963   4.0015   3.7821   -0.221   -0.069   0.030   0.069   0.084   0.101   0.137   0.149   0.158   3.28782988   1
   0.004237   8.7000   2.42844534   2.4284   2.0161   3.9954   3.7409   -0.270   -0.125   -0.043   -0.009   0.004   0.017   0.046   0.055   0.063   3.28842139   1
   0.004237   8.7000   2.43047190   2.4305   2.0185   3.9947   3.7359   -0.276   -0.131   -0.051   -0.018   -0.006   0.007   0.035   0.044   0.052   3.28849220   1
   0.004237   8.7000   2.44890666   2.4489   2.0424   3.9869   3.6841   -0.336   -0.197   -0.139   -0.113   -0.105   -0.096   -0.078   -0.072   -0.066   3.28913045   1
   0.004237   8.7000   2.46327424   2.4633   2.0642   3.9837   3.6522   -0.391   -0.255   -0.205   -0.181   -0.174   -0.168   -0.153   -0.149   -0.144   3.28961968   1
   0.004237   8.7000   2.47078514   2.4708   2.0821   3.9888   3.6558   -0.435   -0.299   -0.234   -0.204   -0.194   -0.185   -0.164   -0.157   -0.151   3.28987241   1
   0.004237   8.7000   2.47489166   2.4749   2.0992   3.9987   3.6793   -0.478   -0.337   -0.241   -0.201   -0.187   -0.172   -0.139   -0.128   -0.119   3.29000998   1
   0.004237   8.7000   2.47643185   2.4764   2.1130   4.0087   3.7055   -0.513   -0.366   -0.237   -0.188   -0.170   -0.150   -0.106   -0.091   -0.080   3.29006124   1
   0.004237   8.7000   2.47722077   2.4772   2.1274   4.0187   3.7312   -0.549   -0.393   -0.233   -0.176   -0.154   -0.130   -0.074   -0.056   -0.042   3.29008770   1
   0.004237   8.7000   2.47766161   2.4777   2.1434   4.0284   3.7542   -0.588   -0.422   -0.231   -0.167   -0.143   -0.114   -0.047   -0.026   -0.009   3.29010224   1
